sample_id,num_measurements,target_logit,target_val,other_logit,other_val,margin,aum
0,1,1,0.1307538002729416,0,0.07002287358045578,0.06073092669248581,0.06073092669248581
0,2,1,-0.1357870101928711,0,0.09048362076282501,-0.2262706309556961,-0.08276985213160515
0,3,1,0.6330935955047607,0,-0.6250521540641785,1.258145809173584,0.36420203497012454
0,4,1,2.263953924179077,0,-1.9907888174057007,4.254742622375488,1.3368371818214655
0,5,1,0.06336747109889984,0,0.10421887785196304,-0.0408514067530632,1.0612994641065598
0,6,1,-0.2878568470478058,0,0.14358270168304443,-0.4314395487308502,0.812509628633658
0,7,1,0.0733092799782753,0,-0.018763093277812004,0.09207237511873245,0.7095900209886687
0,8,1,1.4737341403961182,0,-1.6204959154129028,3.0942301750183105,1.007670040242374
1,1,0,-0.06533891707658768,1,0.06890422850847244,-0.13424314558506012,-0.13424314558506012
1,2,0,0.4839015603065491,1,-0.5285580158233643,1.0124595165252686,0.4391081854701042
1,3,0,0.7338452339172363,1,-0.7913423180580139,1.5251874923706055,0.8011346211036047
1,4,0,0.9061040282249451,1,-0.8784782290458679,1.784582257270813,1.0469965301454067
1,5,0,-0.054150499403476715,1,0.01682654768228531,-0.07097704708576202,0.823401814699173
1,6,0,0.8382264971733093,1,-0.6282747387886047,1.466501235961914,0.9305850515762965
1,7,0,0.8306018710136414,1,-0.8135504126548767,1.644152283668518,1.032523227589471
1,8,0,1.1185028553009033,1,-0.7222934365272522,1.8407962322235107,1.133557353168726
2,1,1,0.3877350389957428,0,-0.023223331198096275,0.4109583795070648,0.4109583795070648
2,2,1,0.7979453206062317,0,-0.6686921715736389,1.4666374921798706,0.9387979358434677
2,3,1,1.6344765424728394,0,-1.2413337230682373,2.875810146331787,1.5844686726729076
2,4,1,2.171506404876709,0,-2.1504578590393066,4.321964263916016,2.2688425704836845
2,5,1,-0.08797972649335861,0,0.10974694043397903,-0.19772666692733765,1.77552872300148
2,6,1,0.46311327815055847,0,-0.45974311232566833,0.9228563904762268,1.6334166675806046
2,7,1,1.1294749975204468,0,-1.2422690391540527,2.371744155883789,1.738892023052488
2,8,1,1.948710322380066,0,-1.9538683891296387,3.902578830718994,2.0093528740108013
3,1,1,0.07766234129667282,0,-0.14865735173225403,0.22631970047950745,0.22631970047950745
3,2,1,-0.07528474926948547,0,-0.061152003705501556,-0.014132745563983917,0.10609347745776176
3,3,1,1.0620856285095215,0,-1.0573402643203735,2.1194257736206055,0.7772042428453764
3,4,1,1.6736425161361694,0,-1.3103054761886597,2.983947992324829,1.3288901802152395
3,5,1,-0.03313407301902771,0,-0.07332628220319748,0.04019220918416977,1.0711505860090256
3,6,1,0.3091895282268524,0,-0.38440611958503723,0.6935956478118896,1.0082247629761696
3,7,1,0.030363794416189194,0,-0.09997941553592682,0.1303432136774063,0.8828131130763462
3,8,1,1.677786946296692,0,-1.464920163154602,3.142707109451294,1.1652998626232147
4,1,0,-0.0359911285340786,1,0.10776796191930771,-0.143759086728096,-0.143759086728096
4,2,0,0.7125222086906433,1,-0.4906628727912903,1.2031850814819336,0.5297129973769188
4,3,0,1.6892534494400024,1,-1.3050369024276733,2.994290351867676,1.3512387822071712
4,4,0,0.3904859721660614,1,-0.38122573494911194,0.7717117071151733,1.2063570134341717
4,5,0,-0.07348168641328812,1,0.01947689987719059,-0.09295858442783356,0.9464938938617706
4,6,0,0.34552139043807983,1,-0.32562488317489624,0.6711462736129761,0.9006026238203049
